popwght,state,nielsen,region,division,ownhome,mstatus,emply,age,age2,educ,income,d3_a,sex,sumo8
1.1209,WV,C,South,South Atlantic,Rented,Divorced,Disabled/Handicapped,50, ,High school graduate,"Less than $15,000",Somewhat liberal,Male,Pepperoni
0.9817,PA,B,North East,Mid Atlantic,Owned,Married,Retired,77, ,Less than high school graduate,"Less than $15,000",Refused,Male,Don't know/no answer
1.6032,RI,B,North East,New England,Owned,Married,Full-time,30, ,Graduate school or more,"$40,000 but less than $50,000",Moderate,Female,Mushrooms
0.4601,TN,B,South,East South Central,Rented,Married,Retired,78, ,Less than high school graduate,"Less than $50,000 (Unspecified)",Moderate,Male,Pepperoni
1.3715,PA,C,North East,Mid Atlantic,Owned,Married,Part-time,29, ,Graduated college,"$40,000 but less than $50,000",Somewhat conservative,Female,Mushrooms
1.0553,NJ,A,North East,Mid Atlantic,Owned,Married,Full-time,Refused,Refused,High school graduate,Refused,Very conservative,Male,Mushrooms
0.282,FL,B,South,South Atlantic,Owned,Widowed,Retired,87, ,Less than high school graduate,"Less than $15,000",Don't know,Female,Mushrooms
0.7119,NC,C,South,South Atlantic,Owned,Married,Full-time,73, ,Graduate school or more,"$250,000 or more",Moderate,Female,Sausage
0.8156,NC,C,South,South Atlantic,Owned,Married,Full-time,45, ,Graduate school or more,"$100,000 to under $150,000",Somewhat conservative,Male,Pepperoni
0.2928,FL,A,South,South Atlantic,Owned,Widowed,Retired,92, ,Graduated college,"Less than $15,000",Moderate,Female,Mushrooms
0.3828,VA,D,South,South Atlantic,Owned,"Single, that is never married",Retired,68, ,High school graduate,"$25,000 but less than $30,000",Moderate,Female,Pepperoni
0.7386,TX,A,South,West South Central,Owned,Married,Retired,70, ,High school graduate,"$100,000 to under $150,000",Somewhat conservative,Female,Pepperoni
0.4423,IL,A,North Central,East North Central,Owned,Widowed,Homemaker,85, ,High school graduate,"$15,000 but less than $25,000",Somewhat conservative,Female,Sausage
0.9962,WI,B,North Central,East North Central,Owned,Married,Part-time,59, ,Some college,Refused,Somewhat conservative,Female,Mushrooms
0.6868,IN,A,North Central,East North Central,Rented,Married,Full-time,32, ,Graduated college,"$50,000 but less than $75,000",Somewhat conservative,Male,Pepperoni
0.25,AR,C,South,West South Central,Owned,Widowed,Retired,69, ,Some college,"Less than $15,000",Don't know,Female,Pepperoni
0.25,AR,B,South,West South Central,Owned,Divorced,Retired,79, ,High school graduate,"$15,000 but less than $25,000",Very conservative,Female,Pepperoni
0.25,IL,A,North Central,East North Central,Owned,Widowed,Part-time,65, ,Some college,"$15,000 but less than $25,000",Moderate,Female,Sausage
0.5928,MO,B,North Central,West North Central,Rented,"Single, that is never married",Full-time,60, ,High school graduate,"$30,000 but less than $40,000",Very liberal,Male,Pepperoni
0.9671,CA,A,West,Pacific,Owned,Married,Temporarily unemployed,58, ,High school graduate,"$15,000 but less than $25,000",Somewhat conservative,Male,Mushrooms
0.4059,MN,A,North Central,West North Central,Owned,Widowed,Retired,80, ,Graduated college,"$40,000 but less than $50,000",Moderate,Female,Sausage
0.4343,WI,D,North Central,East North Central,Rented,Separated,Disabled/Handicapped,28, ,High school graduate,"Less than $15,000",Very conservative,Male,Don't know/no answer
0.25,WI,B,North Central,East North Central,Owned,Widowed,Retired,90, ,Graduated college,Refused,Somewhat conservative,Female,Don't know/no answer
0.6811,KS,D,North Central,West North Central,Owned,Married,Other not employed,86, ,High school graduate,"$30,000 but less than $40,000",Somewhat conservative,Female,Pepperoni
0.4017,MN,A,North Central,West North Central,Rented,"Single, that is never married",Retired,64, ,High school graduate,"$30,000 but less than $40,000",Somewhat liberal,Male,Pepperoni
0.6615,IA,C,North Central,West North Central,Owned,Married,Retired,84, ,High school graduate,"$15,000 but less than $25,000",Moderate,Female,Sausage
1.0391,IA,B,North Central,West North Central,Owned,Married,Retired,62, ,High school graduate,"$50,000 but less than $75,000",Moderate,Female,Mushrooms
0.5911,MN,D,North Central,West North Central,Owned,"Single, that is never married",Full-time,56, ,High school graduate,"$25,000 but less than $30,000",Somewhat conservative,Male,Pepperoni
0.25,LA,C,South,West South Central,Rented,Widowed,Retired,69, ,Graduated college,"$30,000 but less than $40,000",Moderate,Female,Pepperoni
0.7291,SD,D,North Central,West North Central,Owned,Married,Retired,65, ,Graduate school or more,"$75,000 but less than $100,000",Somewhat conservative,Male,Sausage
