popwght,state,nielsen,region,division,ownhome,mstatus,emply,age,age2,educ,income,d3_a,sex,sumo8
0.7276,PA,D,North East,Mid Atlantic,Owned,Married,Retired,82, ,Some college,Don't know,Somewhat conservative,Female,Don't know/no answer
0.3897,TX,B,South,West South Central,Owned,Married,Retired,85, ,Less than high school graduate,Don't know,Very conservative,Male,Onions
0.6239,NH,C,North East,New England,Owned,"Single, living with a partner",Temporarily unemployed,51, ,Graduated college,"$75,000 but less than $100,000",Moderate,Female,Mushrooms
0.5245,NJ,A,North East,Mid Atlantic,Owned,Divorced,Retired,70, ,High school graduate,"$40,000 but less than $50,000",Somewhat conservative,Female,Pepperoni
0.7292,VA,B,South,South Atlantic,Rented,Divorced,Retired,65, ,Less than high school graduate,Refused,Moderate,Female,Onions
0.25,TX,C,South,West South Central,Owned,Widowed,Retired,74, ,Some college,"Less than $15,000",Moderate,Female,Pepperoni
0.25,TX,C,South,West South Central,Owned,Widowed,Retired,Refused,65+,Technical school/other,"$40,000 but less than $50,000",Somewhat conservative,Female,Pepperoni
0.6916,GA,A,South,South Atlantic,Owned,Married,Full-time,58, ,Graduate school or more,"$200,000 to under $250,000",Moderate,Male,Pepperoni
0.7102,FL,D,South,South Atlantic,Owned,Divorced,Full-time,48, ,Some college,"$30,000 but less than $40,000",Somewhat conservative,Female,Pepperoni
0.4931,OH,B,North Central,East North Central,Owned,Married,Full-time,51, ,Some college,"$100,000 and over (Unspecified)",Somewhat conservative,Male,Mushrooms
1.0391,OH,D,North Central,East North Central,Owned,Married,Retired,63, ,High school graduate,"$15,000 but less than $25,000",Very conservative,Female,Onions
0.379,CO,D,West,Mountain,Owned,Widowed,Retired,Refused,65+,High school graduate,"$30,000 but less than $40,000",Very conservative,Female,Sausage
0.2759,PA,C,North East,Mid Atlantic,Rented,Widowed,Disabled/Handicapped,81, ,Less than high school graduate,"$15,000 but less than $25,000",Don't know,Female,Pepperoni
0.5051,ID,D,West,Mountain,Owned,"Single, living with a partner",Part-time,68, ,High school graduate,"Less than $15,000",Very liberal,Female,Mushrooms
1.2989,FL,B,South,South Atlantic,Owned,Married,Retired,59, ,Less than high school graduate,"$25,000 but less than $30,000",Don't know,Female,Pepperoni
0.7396,MN,D,North Central,West North Central,Refused,Married,Retired,88, ,Some college,"$30,000 but less than $40,000",Somewhat conservative,Male,Pepperoni
0.2579,NJ,A,North East,Mid Atlantic,Rented,Widowed,Part-time,75, ,High school graduate,"$15,000 but less than $25,000",Moderate,Female,Pepperoni
0.9216,OH,A,North Central,East North Central,Owned,Married,Retired,86, ,Graduate school or more,"$30,000 but less than $40,000",Somewhat conservative,Male,Onions
0.9771,SC,D,South,South Atlantic,Owned,Married,Retired,58, ,Technical school/other,"$50,000 but less than $75,000",Very conservative,Male,Sausage
0.2901,MN,C,North Central,West North Central,Owned,Widowed,Homemaker,67, ,Graduated college,"$25,000 but less than $30,000",Very conservative,Female,Sausage
1.7666,FL,D,South,South Atlantic,Owned,Married,Full-time,37, ,Some college,"$200,000 to under $250,000",Somewhat conservative,Female,Pepperoni
0.3458,VA,B,South,South Atlantic,Owned,"Single, that is never married",Full-time,47, ,Graduate school or more,"$75,000 but less than $100,000",Very liberal,Female,Pepperoni
0.8537,VA,A,South,South Atlantic,Owned,Married,Full-time,30, ,Graduate school or more,"$100,000 to under $150,000",Very liberal,Female,Mushrooms
0.4707,MD,A,South,South Atlantic,Owned,Married,Homemaker,81, ,High school graduate,"$150,000 to under $200,000",Somewhat conservative,Female,Pepperoni
0.8423,FL,B,South,South Atlantic,Owned,Married,Retired,73, ,Some college,"$15,000 but less than $25,000",Somewhat liberal,Male,Pepperoni
3.4356,VA,B,South,South Atlantic,Rented,"Single, that is never married",Temporarily unemployed,Refused,50-64,High school graduate,"Less than $50,000 (Unspecified)",Moderate,Female,Pepperoni
0.4446,CO,B,West,Mountain,Owned,Divorced,Full-time,68, ,Graduate school or more,"$75,000 but less than $100,000",Very liberal,Male,Pepperoni
0.7194,ID,D,West,Mountain,Rented,"Single, living with a partner",Full-time,28, ,Some college,"$25,000 but less than $30,000",Somewhat liberal,Male,Pepperoni
0.5982,NJ,A,North East,Mid Atlantic,Owned,"Single, that is never married",Retired,82, ,High school graduate,"$30,000 but less than $40,000",Don't know,Female,Sausage
0.6611,AZ,A,West,Mountain,Owned,Married,Retired,87, ,High school graduate,"$30,000 but less than $40,000",Very conservative,Male,Pepperoni
3.6009,NY,A,North East,Mid Atlantic,Rented,Married,Part-time,41, ,Less than high school graduate,"Less than $15,000",Moderate,Female,Pepperoni
1.1082,MA,A,North East,New England,Owned,Married,Part-time,64, ,Graduated college,"$150,000 to under $200,000",Moderate,Female,Mushrooms
1.093,PA,B,North East,Mid Atlantic,Rented,"Single, that is never married",Homemaker,33, ,Less than high school graduate,"$15,000 but less than $25,000",Moderate,Female,Sausage
1.3028,NJ,A,North East,Mid Atlantic,Owned,Married,Full-time,58, ,Graduate school or more,"$150,000 to under $200,000",Somewhat liberal,Male,Mushrooms
0.25,PA,C,North East,Mid Atlantic,Owned,Widowed,Retired,69, ,Some college,"$15,000 but less than $25,000",Moderate,Female,Pepperoni
0.42,MO,B,North Central,West North Central,Owned,Married,Part-time,67, ,Some college,"Less than $50,000 (Unspecified)",Somewhat liberal,Female,Pepperoni
0.3224,OH,D,North Central,East North Central,Owned,"Single, that is never married",Retired,66, ,High school graduate,"Less than $15,000",Somewhat liberal,Female,Mushrooms
0.5678,OR,C,West,Pacific,Owned,Widowed,Retired,78, ,Graduate school or more,"$15,000 but less than $25,000",Somewhat liberal,Male,Sausage
0.7073,NY,A,North East,Mid Atlantic,Owned,Married,Part-time,54, ,Some college,"$100,000 to under $150,000",Somewhat liberal,Female,Don't know/no answer
1.2101,CA,A,West,Pacific,Rented,Married,Homemaker,60, ,High school graduate,Don't know,Moderate,Female,Don't eat pizza
0.3547,NY,B,North East,Mid Atlantic,Rented,"Single, that is never married",Retired,55, ,High school graduate,"Less than $15,000",Somewhat conservative,Female,Pepperoni
0.8832,WA,A,West,Pacific,Owned,Married,Retired,85, ,Some college,"$50,000 but less than $75,000",Moderate,Female,Sausage
1.2708,WA,A,West,Pacific,Owned,Married,Full-time,45, ,High school graduate,Refused,Somewhat conservative,Female,Mushrooms
1.1082,MA,A,North East,New England,Owned,Married,Part-time,47, ,Graduated college,"$200,000 to under $250,000",Moderate,Female,Pepperoni
1.3844,NY,A,North East,Mid Atlantic,Owned,"Single, that is never married",Full-time,44, ,High school graduate,"$75,000 but less than $100,000",Somewhat conservative,Female,Mushrooms
0.534,WA,A,West,Pacific,Owned,Widowed,Retired,69, ,Some college,"$25,000 but less than $30,000",Moderate,Female,Sausage
0.6488,WI,A,North Central,East North Central,Owned,"Single, that is never married",Full-time,23, ,Graduated college,"$75,000 but less than $100,000",Somewhat conservative,Male,Pepperoni
0.3741,CA,D,West,Pacific,Owned,Widowed,Retired,91, ,Technical school/other,"$15,000 but less than $25,000",Very conservative,Female,Pepperoni
0.9579,WA,A,West,Pacific,Owned,Married,Retired,70, ,Graduate school or more,"$50,000 but less than $100,000 (Unspecified)",Refused,Male,Pepperoni
0.6973,CA,A,West,Pacific,Owned,Married,Retired,59, ,Some college,"$30,000 but less than $40,000",Very conservative,Female,Pepperoni
0.3525,WA,A,West,Pacific,Owned,Married,Retired,Refused,65+,Graduate school or more,"$200,000 to under $250,000",Moderate,Female,Don't eat pizza
1.1327,SD,D,North Central,West North Central,Owned,"Single, that is never married",Temporarily unemployed,25, ,Less than high school graduate,Don't know,Refused,Female,Mushrooms
0.4643,WA,A,West,Pacific,Owned,Divorced,Retired,72, ,Some college,Refused,Somewhat liberal,Male,Mushrooms
2.6353,CA,A,West,Pacific,Rented,"Single, living with a partner",Homemaker,44, ,Less than high school graduate,"$15,000 but less than $25,000",Moderate,Female,Mushrooms
0.7425,CA,A,West,Pacific,Owned,"Single, that is never married",Full-time,51, ,Graduated college,"$50,000 but less than $75,000",Very conservative,Female,Don't eat pizza
0.8311,MN,A,North Central,West North Central,Owned,Married,Retired,70, ,High school graduate,Refused,Somewhat conservative,Male,Mushrooms
0.6973,OR,B,West,Pacific,Owned,Married,Full-time,54, ,Some college,"$100,000 to under $150,000",Somewhat liberal,Female,Pepperoni
0.5987,OR,B,West,Pacific,Owned,"Single, that is never married",Part-time,53, ,Graduate school or more,"$50,000 but less than $75,000",Very liberal,Female,Mushrooms
0.9893,MO,A,North Central,West North Central,Owned,"Single, that is never married",Student,20, ,Some college,Don't know,Somewhat conservative,Female,Don't know/no answer
0.3592,SD,D,North Central,West North Central,Owned,Married,Retired,79, ,Graduated college,Refused,Very liberal,Male,Sausage
1.6935,NC,C,South,South Atlantic,Owned,Married,Full-time,37, ,Some college,"$30,000 but less than $40,000",Very conservative,Male,Pepperoni
0.6589,PA,A,North East,Mid Atlantic,Owned,"Single, living with a partner",Full-time,50, ,Graduated college,"$50,000 but less than $75,000",Don't know,Female,Mushrooms
0.8267,SC,D,South,South Atlantic,Owned,Married,Full-time,45, ,Graduated college,Refused,Very conservative,Male,Pepperoni
0.76,NY,C,North East,Mid Atlantic,Rented,Separated,Full-time,28, ,High school graduate,"$25,000 but less than $30,000",Moderate,Female,Mushrooms
1.0136,CA,A,West,Pacific,Rented,Married,Retired,91, ,High school graduate,"$100,000 to under $150,000",Somewhat conservative,Male,Pepperoni
1.7746,MN,D,North Central,West North Central,Rented,Married,Full-time,39, ,Some college,"$100,000 to under $150,000",Somewhat conservative,Female,Sausage
0.2849,NJ,A,North East,Mid Atlantic,Owned,Widowed,Retired,72, ,Graduate school or more,"$75,000 but less than $100,000",Somewhat liberal,Male,Don't eat pizza
0.7386,TN,B,South,East South Central,Owned,Married,Retired,88, ,High school graduate,"$30,000 but less than $40,000",Moderate,Female,Pepperoni
1.6328,TX,B,South,West South Central,Owned,Married,Full-time,41, ,Graduated college,Refused,Somewhat conservative,Female,Pepperoni
1.4303,GA,A,South,South Atlantic,Owned,Married,Full-time,50, ,Graduate school or more,Refused,Moderate,Male,Pepperoni
1.6408,TN,D,South,East South Central,Owned,Married,Full-time,28, ,High school graduate,"$15,000 but less than $25,000",Somewhat conservative,Female,Onions
0.3477,PA,B,North East,Mid Atlantic,Owned,Married,Retired,90, ,Graduate school or more,"$50,000 but less than $75,000",Somewhat conservative,Male,Mushrooms
0.8891,NJ,A,North East,Mid Atlantic,Rented,"Single, that is never married",Full-time,29, ,Less than high school graduate,"Less than $15,000",Very conservative,Female,Pepperoni
0.4311,IN,C,North Central,East North Central,Rented,"Single, that is never married",Full-time,19, ,High school graduate,"$30,000 but less than $40,000",Very liberal,Male,Pepperoni
0.7907,LA,B,South,West South Central,Owned,Married,Retired,82, ,Graduate school or more,"$100,000 to under $150,000",Very conservative,Male,Pepperoni
1.3852,FL,B,South,South Atlantic,Owned,Married,Full-time,58, ,High school graduate,"$30,000 but less than $40,000",Moderate,Male,Pepperoni
0.6026,VA,D,South,South Atlantic,Rented,"Single, that is never married",Disabled/Handicapped,54, ,Graduated college,"$30,000 but less than $40,000",Moderate,Female,Pepperoni
0.5281,WI,B,North Central,East North Central,Owned,Married,Retired,74, ,High school graduate,"$40,000 but less than $50,000",Somewhat liberal,Male,Sausage
0.8092,TX,C,South,West South Central,Owned,Married,Retired,79, ,High school graduate,"$50,000 but less than $75,000",Very conservative,Female,Pepperoni
0.7114,NY,A,North East,Mid Atlantic,Owned,"Single, that is never married",Student,22, ,Some college,Don't know,Very liberal,Male,Mushrooms
0.7513,TN,B,South,East South Central,Owned,"Single, that is never married",Retired,45, ,Graduated college,"Less than $50,000 (Unspecified)",Moderate,Male,Pepperoni
0.5053,TX,C,South,West South Central,Owned,Married,Temporarily unemployed,64, ,Some college,"$15,000 but less than $25,000",Somewhat conservative,Female,Don't know/no answer
0.7891,NJ,A,North East,Mid Atlantic,Owned,Married,Retired,74, ,Graduate school or more,"$100,000 to under $150,000",Moderate,Male,Pepperoni
0.684,ID,D,West,Mountain,Owned,Married,Retired,73, ,Graduated college,"$30,000 but less than $40,000",Somewhat conservative,Female,Pepperoni
0.5304,NM,D,West,Mountain,Owned,"Single, living with a partner",Retired,65, ,High school graduate,"$50,000 but less than $75,000",Moderate,Female,Pepperoni
0.6764,NY,C,North East,Mid Atlantic,Owned,Married,Retired,76, ,Graduated college,Refused,Somewhat liberal,Female,Don't know/no answer
0.8058,NJ,A,North East,Mid Atlantic,Owned,Married,Retired,69, ,High school graduate,"$40,000 but less than $50,000",Very conservative,Male,Pepperoni
0.25,FL,B,South,South Atlantic,Rented,Widowed,Retired,81, ,Some college,"$40,000 but less than $50,000",Somewhat conservative,Female,Mushrooms
0.4757,TX,A,South,West South Central,Owned,Married,Retired,71, ,Graduate school or more,"$50,000 but less than $75,000",Very liberal,Female,Don't know/no answer
0.4551,CO,B,West,Mountain,Rented,Divorced,Student,52, ,Graduated college,"Less than $15,000",Somewhat liberal,Male,Mushrooms
0.25,OK,B,South,West South Central,Rented,"Single, that is never married",Full-time,29, ,Graduated college,"$50,000 but less than $75,000",Moderate,Male,Pepperoni
0.6947,OH,A,North Central,East North Central,Owned,Married,Retired,72, ,High school graduate,Refused,Moderate,Female,Pepperoni
0.25,AZ,A,West,Mountain,Owned,Widowed,Retired,93, ,High school graduate,Refused,Moderate,Female,Sausage
0.25,NC,D,South,South Atlantic,Rented,Widowed,Retired,71, ,Less than high school graduate,"Less than $15,000",Very liberal,Female,Pepperoni
0.25,PA,C,North East,Mid Atlantic,Owned,Widowed,Retired,82, ,Some college,"$40,000 but less than $50,000",Moderate,Female,Mushrooms
0.5332,AZ,A,West,Mountain,Owned,Married,Full-time,56, ,Graduated college,"$100,000 to under $150,000",Somewhat conservative,Male,Pepperoni
0.3252,NC,B,South,South Atlantic,Rented,Widowed,Retired,83, ,Graduated college,Refused,Somewhat conservative,Male,Mushrooms
0.5149,FL,B,South,South Atlantic,Owned,Married,Homemaker,53, ,Graduate school or more,"$100,000 to under $150,000",Somewhat conservative,Female,Mushrooms
0.8507,MA,A,North East,New England,Refused,Refused,Refused,88, ,Technical school/other,Refused,Moderate,Male,Onions
0.25,PA,C,North East,Mid Atlantic,Rented,Widowed,Retired,78, ,Graduated college,"$15,000 but less than $25,000",Refused,Female,Onions
0.2582,NJ,A,North East,Mid Atlantic,Rented,Divorced,Retired,81, ,High school graduate,"$25,000 but less than $30,000",Very conservative,Male,Pepperoni
0.5462,FL,B,South,South Atlantic,Owned,Widowed,Retired,80, ,Some college,Refused,Moderate,Female,Mushrooms
1.0643,CO,C,West,Mountain,Owned,Married,Full-time,54, ,Graduated college,"$75,000 but less than $100,000",Very liberal,Female,Sausage
0.3078,KY,D,South,East South Central,Owned,Married,Retired,67, ,High school graduate,"$40,000 but less than $50,000",Somewhat liberal,Female,Onions
0.3304,FL,B,South,South Atlantic,Owned,Widowed,Retired,81, ,Graduate school or more,Refused,Very liberal,Female,Mushrooms
0.9166,NC,C,South,South Atlantic,Owned,Married,Full-time,53, ,Graduated college,"$100,000 to under $150,000",Very conservative,Female,Onions
1.1527,CA,B,West,Pacific,Rented,Separated,Other not employed,40, ,Less than high school graduate,"Less than $15,000",Moderate,Male,Pepperoni
0.9314,CA,A,West,Pacific,Owned,Married,Retired,72, ,Some college,"$30,000 but less than $40,000",Very conservative,Male,Sausage
1.6853,NJ,A,North East,Mid Atlantic,Owned,"Single, that is never married",Temporarily unemployed,50, ,Less than high school graduate,Don't know,Very liberal,Male,Mushrooms
0.7007,OK,D,South,West South Central,Owned,Married,Full-time,65, ,Graduated college,"$15,000 but less than $25,000",Very conservative,Male,Sausage
0.5229,WV,D,South,South Atlantic,Rented,Divorced,Homemaker,48, ,High school graduate,"$15,000 but less than $25,000",Somewhat conservative,Female,Pepperoni
1.2687,FL,D,South,South Atlantic,Owned,Divorced,Temporarily unemployed,38, ,Some college,Don't know,Somewhat conservative,Male,Onions
1.2998,MD,A,South,South Atlantic,Owned,Married,Retired,50, ,High school graduate,"$200,000 to under $250,000",Somewhat conservative,Female,Mushrooms
0.8042,WI,D,North Central,East North Central,Owned,Divorced,Temporarily unemployed,43, ,Graduate school or more,"$50,000 but less than $75,000",Somewhat conservative,Female,Pepperoni
0.7228,TX,B,South,West South Central,Owned,Married,Part-time,Refused,50-64,Graduated college,"$40,000 but less than $50,000",Very conservative,Male,Sausage
1.0861,TX,A,South,West South Central,Owned,Married,Retired,52, ,Graduate school or more,"$75,000 but less than $100,000",Somewhat conservative,Female,Pepperoni
0.6781,CA,A,West,Pacific,Owned,Married,Retired,80, ,High school graduate,"$25,000 but less than $30,000",Somewhat liberal,Female,Sausage
0.2901,MI,A,North Central,East North Central,Owned,Divorced,Retired,65, ,Graduated college,Refused,Somewhat liberal,Female,Don't know/no answer
0.7907,TX,A,South,West South Central,Owned,Married,Retired,69, ,Graduate school or more,Refused,Somewhat liberal,Male,Mushrooms
0.7737,OH,B,North Central,East North Central,Owned,Married,Retired,74, ,High school graduate,Refused,Somewhat liberal,Male,Don't know/no answer
0.3442,NY,B,North East,Mid Atlantic,Owned,Divorced,Full-time,57, ,Some college,"$40,000 but less than $50,000",Don't know,Female,Don't eat pizza
1.7299,MA,A,North East,New England,Owned,"Single, that is never married",Part-time,41, ,High school graduate,"$40,000 but less than $50,000",Moderate,Female,Pepperoni
0.8849,NY,A,North East,Mid Atlantic,Rented,Married,Temporarily unemployed,26, ,Technical school/other,"Less than $50,000 (Unspecified)",Moderate,Female,Mushrooms
0.4697,NY,A,North East,Mid Atlantic,Owned,Married,Retired,71, ,High school graduate,"$40,000 but less than $50,000",Moderate,Female,Pepperoni
1.11,NH,A,North East,New England,Owned,Married,Full-time,50, ,Technical school/other,"$75,000 but less than $100,000",Very conservative,Female,Mushrooms
0.7719,PA,C,North East,Mid Atlantic,Owned,Married,Part-time,49, ,Less than high school graduate,"$40,000 but less than $50,000",Very conservative,Female,Mushrooms
0.4725,MA,A,North East,New England,Owned,Widowed,Retired,70, ,Technical school/other,"Less than $50,000 (Unspecified)",Refused,Female,Pepperoni
0.4943,IA,D,North Central,West North Central,Owned,Married,Full-time,58, ,Graduated college,"$100,000 to under $150,000",Moderate,Male,Onions
0.5665,VA,B,South,South Atlantic,Rented,"Single, that is never married",Retired,56, ,Less than high school graduate,"$200,000 to under $250,000",Very conservative,Male,Pepperoni
0.3577,SC,D,South,South Atlantic,Rented,"Single, that is never married",Retired,62, ,Graduated college,Refused,Moderate,Male,Pepperoni
0.5772,IN,C,North Central,East North Central,Owned,Married,Full-time,Refused,18-29,Some college,"$75,000 but less than $100,000",Very conservative,Male,Onions
1.0293,NJ,A,North East,Mid Atlantic,Rented,Married,Full-time,53, ,High school graduate,"$75,000 but less than $100,000",Moderate,Male,Sausage
0.7147,FL,A,South,South Atlantic,Rented,Married,Full-time,65, ,Graduated college,"$100,000 to under $150,000",Somewhat conservative,Male,Pepperoni
0.2814,MA,B,North East,New England,Owned,Widowed,Retired,68, ,Less than high school graduate,"$15,000 but less than $25,000",Don't know,Female,Mushrooms
0.3726,MA,A,North East,New England,Owned,Separated,Temporarily unemployed,61, ,Graduated college,"$75,000 but less than $100,000",Refused,Female,Mushrooms
1.7423,NJ,A,North East,Mid Atlantic,Owned,Married,Full-time,53, ,High school graduate,"$75,000 but less than $100,000",Somewhat liberal,Male,Sausage
1.0673,OH,B,North Central,East North Central,Don't know,"Single, living with a partner",Temporarily unemployed,18, ,Less than high school graduate,Don't know,Don't know,Male,Mushrooms
0.9606,NY,A,North East,Mid Atlantic,Owned,Married,Full-time,57, ,Graduated college,"$200,000 to under $250,000",Moderate,Female,Pepperoni
0.5219,ME,C,North East,New England,Rented,Widowed,Part-time,64, ,High school graduate,"$25,000 but less than $30,000",Moderate,Female,Pepperoni
0.4546,PA,B,North East,Mid Atlantic,Owned,Married,Retired,70, ,Technical school/other,Refused,Very conservative,Female,Pepperoni
0.6117,NJ,A,North East,Mid Atlantic,Owned,Divorced,Retired,Refused,50-64,Graduated college,"$15,000 but less than $25,000",Moderate,Female,Sausage
0.4212,IN,B,North Central,East North Central,Rented,Widowed,Retired,71, ,High school graduate,"$25,000 but less than $30,000",Somewhat conservative,Female,Onions
0.704,FL,C,South,South Atlantic,Owned,Married,Retired,62, ,High school graduate,"$25,000 but less than $30,000",Very conservative,Female,Mushrooms
0.4804,IA,C,North Central,West North Central,Owned,Divorced,Retired,70, ,Some college,"$40,000 but less than $50,000",Somewhat conservative,Male,Sausage
0.25,TX,D,South,West South Central,Owned,Widowed,Retired,66, ,Graduated college,"$15,000 but less than $25,000",Somewhat conservative,Female,Mushrooms
0.8538,NC,C,South,South Atlantic,Rented,Married,Retired,83, ,Less than high school graduate,"$15,000 but less than $25,000",Moderate,Female,Pepperoni
0.2888,OH,B,North Central,East North Central,Owned,Widowed,Retired,84, ,Less than high school graduate,"Less than $15,000",Don't know,Male,Sausage
1.1986,WI,D,North Central,East North Central,Owned,Married,Other not employed,50, ,High school graduate,"$30,000 but less than $40,000",Moderate,Female,Pepperoni
0.811,MA,A,North East,New England,Owned,Married,Retired,80, ,High school graduate,"$50,000 but less than $75,000",Moderate,Male,Sausage
0.25,TX,C,South,West South Central,Owned,Divorced,Retired,80, ,High school graduate,"Less than $15,000",Somewhat conservative,Female,Pepperoni
0.25,IL,A,North Central,East North Central,Rented,Widowed,Retired,87, ,Graduated college,"$40,000 but less than $50,000",Somewhat liberal,Female,Mushrooms
0.9106,AZ,A,West,Mountain,Owned,"Single, that is never married",Temporarily unemployed,45, ,High school graduate,"$30,000 but less than $40,000",Somewhat conservative,Male,Sausage
1.3813,TN,B,South,East South Central,Owned,Married,Retired,63, ,High school graduate,"$15,000 but less than $25,000",Moderate,Male,Pepperoni
1.0519,TX,C,South,West South Central,Owned,"Single, living with a partner",Full-time,26, ,Some college,"$25,000 but less than $30,000",Somewhat conservative,Female,Sausage
0.7884,FL,B,South,South Atlantic,Owned,Married,Full-time,48, ,Graduated college,"$50,000 but less than $75,000",Very liberal,Male,Pepperoni
0.9437,TX,C,South,West South Central,Owned,Married,Homemaker,62, ,Graduated college,"$150,000 to under $200,000",Somewhat conservative,Female,Pepperoni
0.464,CA,B,West,Pacific,Owned,"Single, that is never married",Part-time,59, ,Less than high school graduate,"Less than $15,000",Moderate,Male,Onions
0.25,KY,D,South,East South Central,Owned,Divorced,Retired,68, ,Graduate school or more,"$30,000 but less than $40,000",Somewhat liberal,Female,Sausage
0.7837,CA,A,West,Pacific,Owned,Married,Retired,56, ,Some college,"$30,000 but less than $40,000",Moderate,Female,Sausage
1.1122,LA,B,South,West South Central,Rented,Married,Homemaker,48, ,Some college,"$100,000 to under $150,000",Somewhat conservative,Female,Sausage
0.3377,NH,D,North East,New England,Owned,Widowed,Retired,83, ,Some college,"$30,000 but less than $40,000",Somewhat liberal,Female,Mushrooms
1.2971,WI,D,North Central,East North Central,Owned,Married,Retired,83, ,High school graduate,"Less than $15,000",Moderate,Female,Pepperoni
0.8084,WA,A,West,Pacific,Owned,Married,Retired,83, ,Graduated college,"$250,000 or more",Somewhat conservative,Male,Don't know/no answer
0.4768,IL,A,North Central,East North Central,Rented,Divorced,Retired,53, ,Less than high school graduate,"Less than $15,000",Refused,Male,Don't eat pizza
0.9771,IL,D,North Central,East North Central,Owned,Married,Full-time,56, ,Graduate school or more,"$50,000 but less than $75,000",Somewhat liberal,Male,Onions
1.5359,TX,A,South,West South Central,Owned,Married,Full-time,50, ,Graduate school or more,Refused,Refused,Male,Mushrooms
0.4271,AL,B,South,East South Central,Rented,Divorced,Full-time,47, ,High school graduate,"$15,000 but less than $25,000",Somewhat conservative,Male,Sausage
0.3234,TX,A,South,West South Central,Rented,Married,Homemaker,84, ,Graduate school or more,"$30,000 but less than $40,000",Very conservative,Female,Mushrooms
1.0634,GA,A,South,South Atlantic,Rented,"Single, living with a partner",Temporarily unemployed,44, ,Graduated college,"$50,000 but less than $75,000",Somewhat liberal,Female,Sausage
0.3304,TX,A,South,West South Central,Owned,Widowed,Retired,75, ,Graduate school or more,"$100,000 to under $150,000",Somewhat liberal,Female,Don't eat pizza
1.5578,CA,B,West,Pacific,Owned,Married,Full-time,52, ,High school graduate,"$75,000 but less than $100,000",Moderate,Male,Pepperoni
1.1379,CA,A,West,Pacific,Owned,Married,Full-time,56, ,High school graduate,Refused,Moderate,Female,Mushrooms
0.258,MI,A,North Central,East North Central,Rented,Refused,Retired,90, ,Some college,"$100,000 and over (Unspecified)",Somewhat liberal,Male,Sausage
0.4804,OH,A,North Central,East North Central,Owned,Widowed,Temporarily unemployed,72, ,Some college,Refused,Somewhat conservative,Male,Onions
0.2615,CA,A,West,Pacific,Owned,Widowed,Retired,93, ,Graduate school or more,Refused,Very liberal,Female,Don't eat pizza
0.5067,OK,D,South,West South Central,Owned,Divorced,Full-time,26, ,Graduated college,"$75,000 but less than $100,000",Somewhat liberal,Male,Don't eat pizza
0.25,AR,B,South,West South Central,Owned,Widowed,Retired,78, ,High school graduate,"$15,000 but less than $25,000",Somewhat conservative,Female,Pepperoni
0.379,ID,B,West,Mountain,Owned,Widowed,Retired,75, ,High school graduate,"Less than $50,000 (Unspecified)",Somewhat liberal,Female,Sausage
0.7616,NE,D,North Central,West North Central,Owned,Married,Retired,67, ,Some college,"$50,000 but less than $75,000",Very conservative,Male,Pepperoni
0.8774,WI,B,North Central,East North Central,Owned,Married,Retired,64, ,Graduate school or more,"$50,000 but less than $75,000",Somewhat liberal,Male,Pepperoni
0.9132,CA,B,West,Pacific,Owned,Married,Retired,77, ,Some college,"$50,000 but less than $75,000",Moderate,Male,Pepperoni
0.7493,IA,D,North Central,West North Central,Owned,Married,Retired,84, ,High school graduate,Refused,Somewhat conservative,Male,Sausage
0.4555,SC,B,South,South Atlantic,Owned,Married,Retired,82, ,Some college,"$30,000 but less than $40,000",Moderate,Female,Don't know/no answer
1.0832,FL,B,South,South Atlantic,Owned,Married,Full-time,54, ,Graduated college,"$50,000 but less than $75,000",Very conservative,Male,Sausage
0.5128,WI,B,North Central,East North Central,Rented,Widowed,Part-time,50, ,Some college,"$15,000 but less than $25,000",Somewhat liberal,Female,Sausage
0.5967,PA,B,North East,Mid Atlantic,Owned,Married,Retired,66, ,High school graduate,"$30,000 but less than $40,000",Very conservative,Male,Pepperoni
0.8837,CT,C,North East,New England,Owned,"Single, that is never married",Full-time,52, ,Technical school/other,"$30,000 but less than $40,000",Very conservative,Male,Mushrooms
0.25,VA,B,South,South Atlantic,Owned,Widowed,Retired,80, ,Technical school/other,Refused,Refused,Female,Sausage
0.4378,FL,B,South,South Atlantic,Owned,Married,Retired,67, ,Graduated college,"$100,000 to under $150,000",Very liberal,Male,Sausage
0.5704,MI,D,North Central,East North Central,Owned,Married,Retired,68, ,Graduated college,"$30,000 but less than $40,000",Very conservative,Female,Mushrooms
0.5668,IN,C,North Central,East North Central,Owned,"Single, that is never married",Full-time,50, ,Graduated college,"$50,000 but less than $75,000",Very liberal,Female,Mushrooms
1.2301,FL,C,South,South Atlantic,Refused,Widowed,Retired,87, ,High school graduate,Refused,Very conservative,Female,Onions
1.1667,NC,B,South,South Atlantic,Owned,Married,Full-time,59, ,Graduate school or more,"$100,000 and over (Unspecified)",Somewhat liberal,Female,Mushrooms
0.7291,NC,C,South,South Atlantic,Owned,Married,Retired,74, ,Some college,"$75,000 but less than $100,000",Moderate,Female,Mushrooms
0.9048,VA,C,South,South Atlantic,Owned,Married,Retired,71, ,Technical school/other,"$100,000 to under $150,000",Somewhat conservative,Male,Pepperoni
1.2006,MI,A,North Central,East North Central,Owned,Married,Retired,62, ,Some college,"$15,000 but less than $25,000",Somewhat conservative,Male,Don't eat pizza
0.7989,OH,A,North Central,East North Central,Owned,Married,Retired,65, ,Graduate school or more,"$100,000 to under $150,000",Moderate,Male,Mushrooms
